date,description,amount,type
2024-05-17,Amazon,78.24,expense
2024-05-17,Currys,389.59,expense
2024-05-17,Tesco,45.40,expense
2024-05-17,Dentist,69.75,expense
2024-05-17,Waitrose,66.52,expense
2024-05-17,YouTube Premium,12.99,expense
2024-05-18,Currys,345.13,expense
2024-05-18,Spotify,10.99,expense
2024-05-18,Pharmacy,15.29,expense
2024-05-18,Pizza Express,29.03,expense
2024-05-18,Premier Inn,77.55,expense
2024-05-18,Wagamama,17.02,expense
2024-05-18,Greggs,2.30,expense
2024-05-18,Bank Interest,6.70,income
2024-05-18,Spotify,10.99,expense
2024-05-18,Council Tax,183.45,expense
2024-05-18,Side Hustle,117.79,income
2024-05-19,Esso Fuel,68.63,expense
2024-05-19,Water Bill,40.70,expense
2024-05-19,National Rail,100.59,expense
2024-05-19,Council Tax,172.93,expense
2024-05-19,eBay Purchase,3.03,expense
2024-05-19,Superdrug,8.50,expense
2024-05-19,M&S Food,39.86,expense
2024-05-19,Rent Payment,852.56,expense
2024-05-19,Spotify,10.99,expense
2024-05-19,Greggs,6.47,expense
2024-05-19,Costa Coffee,6.28,expense
2024-05-19,Esso Fuel,68.78,expense
2024-05-20,Cashback,19.60,income
2024-05-20,McDonalds,9.96,expense
2024-05-20,KFC,5.32,expense
2024-05-20,Deliveroo,20.78,expense
2024-05-20,Pharmacy,27.13,expense
2024-05-20,O2 Mobile,28.46,expense
2024-05-20,Cinema,13.80,expense
2024-05-20,TfL Travel,9.79,expense
2024-05-20,Uber Eats,13.23,expense
2024-05-20,Spotify,10.99,expense
2024-05-20,KFC,5.36,expense
2024-05-20,Netflix,10.99,expense
2024-05-20,EE Mobile,32.81,expense
2024-05-20,Pizza Express,22.40,expense
2024-05-20,Apple iCloud,2.99,expense
2024-05-20,Optician,51.22,expense
2024-05-20,EE Mobile,35.99,expense
2024-05-20,Lidl,22.05,expense
2024-05-20,Argos,66.37,expense
2024-05-20,Nandos,25.81,expense
2024-05-21,Shell Fuel,66.98,expense
2024-05-21,Amazon,158.13,expense
2024-05-21,Rent Payment,1019.28,expense
2024-05-21,John Lewis,162.86,expense
2024-05-21,National Rail,92.10,expense
2024-05-21,Starbucks,7.47,expense
2024-05-21,Home Insurance,25.96,expense
2024-05-21,Cinema,11.52,expense
2024-05-21,Sainsburys,135.01,expense
2024-05-21,Premier Inn,106.08,expense
2024-05-21,Esso Fuel,72.60,expense
2024-05-22,Gas & Electric,83.15,expense
2024-05-22,Pret A Manger,7.14,expense
2024-05-22,John Lewis,179.09,expense
2024-05-22,Greggs,6.18,expense
2024-05-22,Aldi,37.77,expense
2024-05-22,EE Mobile,43.65,expense
2024-05-22,John Lewis,50.01,expense
2024-05-22,KFC,5.46,expense
2024-05-22,Pharmacy,8.65,expense
2024-05-22,Premier Inn,66.94,expense
2024-05-22,Deliveroo,34.25,expense
2024-05-22,Starbucks,4.35,expense
2024-05-23,Uber,15.01,expense
2024-05-23,Gas & Electric,102.09,expense
2024-05-23,Lidl,59.48,expense
2024-05-23,Boots,30.71,expense
2024-05-23,Rent Payment,1464.14,expense
2024-05-23,eBay Purchase,79.30,expense
2024-05-23,Dentist,59.51,expense
2024-05-23,Optician,72.99,expense
2024-05-23,eBay Purchase,41.45,expense
2024-05-23,KFC,11.99,expense
2024-05-23,Gym Membership,32.96,expense
2024-05-23,Rent Payment,1312.74,expense
2024-05-23,M&S Food,25.24,expense
2024-05-23,Uber,15.11,expense
2024-05-23,Pizza Express,35.93,expense
2024-05-23,Freelance Payment,563.28,income
2024-05-24,KFC,13.60,expense
2024-05-24,Ryanair,33.13,expense
2024-05-24,Pret A Manger,5.64,expense
2024-05-24,Salary,2031.19,income
2024-05-24,Council Tax,169.80,expense
2024-05-24,EE Mobile,39.78,expense
2024-05-24,Boots,18.21,expense
2024-05-24,Deliveroo,25.39,expense
2024-05-24,Gym Membership,30.60,expense
2024-05-25,Just Eat,20.53,expense
2024-05-25,KFC,11.17,expense
2024-05-25,ASOS,17.87,expense
2024-05-25,McDonalds,12.82,expense
2024-05-25,Nandos,17.32,expense
2024-05-25,Freelance Payment,1107.84,income
2024-05-25,Uber,22.71,expense
2024-05-25,Netflix,10.99,expense
2024-05-25,Freelance Payment,1374.76,income
2024-05-25,Argos,91.20,expense
2024-05-25,Superdrug,9.92,expense
2024-05-25,Apple iCloud,2.99,expense
2024-05-25,BP Fuel,41.72,expense
2024-05-26,O2 Mobile,28.32,expense
2024-05-26,Costa Coffee,7.11,expense
2024-05-26,Wagamama,33.39,expense
2024-05-26,TfL Travel,2.18,expense
2024-05-26,M&S Food,70.74,expense
2024-05-26,Optician,32.18,expense
2024-05-26,ASOS,18.69,expense
2024-05-26,Disney+,7.99,expense
2024-05-26,Sainsburys,99.08,expense
2024-05-26,Optician,177.67,expense
2024-05-26,Starbucks,6.00,expense
2024-05-27,Tesco,79.56,expense
2024-05-27,Cashback,7.07,income
2024-05-27,Gas & Electric,165.34,expense
2024-05-27,Trainline,79.01,expense
2024-05-27,TfL Travel,12.88,expense
2024-05-27,Pizza Express,22.80,expense
2024-05-27,National Rail,98.56,expense
2024-05-27,Disney+,7.99,expense
2024-05-27,Waitrose,158.25,expense
2024-05-27,TfL Travel,11.08,expense
2024-05-27,Deliveroo,26.56,expense
2024-05-27,Esso Fuel,45.80,expense
2024-05-27,Pizza Express,33.34,expense
2024-05-27,Cashback,16.86,income
2024-05-28,Mortgage Payment,735.92,expense
2024-05-28,ASOS,25.14,expense
2024-05-28,Mortgage Payment,957.42,expense
2024-05-28,Waitrose,99.04,expense
2024-05-28,TfL Travel,11.27,expense
2024-05-28,Salary,3465.23,income
2024-05-28,Netflix,10.99,expense
2024-05-28,Mortgage Payment,1391.48,expense
2024-05-28,Pizza Express,42.94,expense
2024-05-28,Council Tax,190.22,expense
2024-05-29,Cinema,12.33,expense
2024-05-29,Dentist,39.12,expense
2024-05-29,Esso Fuel,77.44,expense
2024-05-29,Aldi,35.87,expense
2024-05-29,National Rail,73.06,expense
2024-05-29,Currys,388.89,expense
2024-05-29,Side Hustle,113.70,income
2024-05-29,Car Insurance,52.85,expense
2024-05-30,Freelance Payment,1479.12,income
2024-05-30,Costa Coffee,3.61,expense
2024-05-30,TfL Travel,6.46,expense
2024-05-30,Greggs,5.74,expense
2024-05-30,Superdrug,20.39,expense
2024-05-30,Dentist,41.52,expense
2024-05-30,Tesco,53.33,expense
2024-05-30,M&S Food,88.20,expense
2024-05-30,Deliveroo,26.31,expense
2024-05-30,Cinema,13.62,expense
2024-05-30,Pub / Bar,34.75,expense
2024-05-30,Car Insurance,54.07,expense
2024-05-30,Boots,28.32,expense
2024-05-31,Bank Interest,19.11,income
2024-05-31,Greggs,3.28,expense
2024-05-31,Council Tax,197.81,expense
2024-05-31,Apple iCloud,2.99,expense
2024-05-31,Sainsburys,35.14,expense
2024-05-31,Apple iCloud,2.99,expense
2024-05-31,Just Eat,29.32,expense
2024-05-31,Sainsburys,48.73,expense
2024-05-31,Bank Interest,2.90,income
2024-05-31,Netflix,10.99,expense
2024-05-31,Dentist,73.37,expense
2024-05-31,Just Eat,25.67,expense
2024-05-31,Car Insurance,46.22,expense
2024-05-31,YouTube Premium,12.99,expense
2024-05-31,Tesco,32.66,expense
2024-05-31,Costa Coffee,3.29,expense
2024-05-31,Spotify,10.99,expense
2024-05-31,Wagamama,28.26,expense
2024-05-31,Home Insurance,30.87,expense
2024-06-01,Cinema,11.42,expense
2024-06-01,Cashback,13.11,income
2024-06-01,KFC,13.91,expense
2024-06-01,Amazon,81.05,expense
2024-06-01,Water Bill,39.95,expense
2024-06-01,Currys,109.96,expense
2024-06-01,Freelance Payment,246.62,income
2024-06-01,Premier Inn,113.20,expense
2024-06-01,Lidl,47.03,expense
2024-06-01,KFC,7.27,expense
2024-06-01,Spotify,10.99,expense
2024-06-01,Pret A Manger,7.81,expense
2024-06-01,Greggs,3.60,expense
2024-06-01,Amazon,190.75,expense
2024-06-01,Dividend Payment,23.63,income
2024-06-01,Argos,88.17,expense
2024-06-01,Deliveroo,27.54,expense
2024-06-01,Water Bill,32.67,expense
2024-06-01,Refund,15.79,income
2024-06-01,John Lewis,179.86,expense
2024-06-01,Side Hustle,417.18,income
2024-06-02,Just Eat,20.41,expense
2024-06-02,Just Eat,10.71,expense
2024-06-02,Shell Fuel,84.98,expense
2024-06-02,Currys,312.95,expense
2024-06-02,Tesco,33.54,expense
2024-06-02,Side Hustle,221.95,income
2024-06-02,Optician,152.53,expense
2024-06-02,Pharmacy,29.01,expense
2024-06-02,Pizza Express,20.65,expense
2024-06-02,Pub / Bar,31.59,expense
2024-06-02,Shell Fuel,58.24,expense
2024-06-02,Tesco,21.70,expense
2024-06-02,Amazon,145.86,expense
2024-06-02,Mortgage Payment,1197.78,expense
2024-06-02,Mortgage Payment,930.66,expense
2024-06-02,Tesco,26.21,expense
2024-06-02,Gym Membership,43.09,expense
2024-06-03,Pizza Express,30.28,expense
2024-06-03,Dentist,38.02,expense
2024-06-03,Uber Eats,26.43,expense
2024-06-03,Dividend Payment,117.41,income
2024-06-03,eBay Purchase,84.55,expense
2024-06-03,Pub / Bar,44.75,expense
2024-06-03,BT Broadband,43.50,expense
2024-06-03,Starbucks,4.36,expense
2024-06-03,Currys,236.68,expense
2024-06-03,Pret A Manger,9.23,expense
2024-06-03,Ryanair,118.15,expense
2024-06-04,Uber,23.10,expense
2024-06-04,Spotify,10.99,expense
2024-06-04,National Rail,23.79,expense
2024-06-04,M&S Food,81.39,expense
2024-06-04,Superdrug,20.44,expense
2024-06-04,Superdrug,9.57,expense
2024-06-04,Starbucks,6.66,expense
2024-06-04,Cashback,7.70,income
2024-06-04,Boots,13.93,expense
2024-06-04,Aldi,51.62,expense
2024-06-04,Pret A Manger,9.80,expense
2024-06-04,Pret A Manger,6.62,expense
2024-06-04,Amazon,85.40,expense
2024-06-05,McDonalds,10.39,expense
2024-06-05,Water Bill,31.34,expense
2024-06-05,Currys,409.62,expense
2024-06-05,YouTube Premium,12.99,expense
2024-06-05,Nandos,21.43,expense
2024-06-05,Gas & Electric,91.69,expense
2024-06-05,Greggs,3.03,expense
2024-06-05,BP Fuel,81.09,expense
2024-06-05,Currys,135.20,expense
2024-06-05,Pret A Manger,8.50,expense
2024-06-05,Spotify,10.99,expense
2024-06-05,Just Eat,18.24,expense
2024-06-05,BT Broadband,43.04,expense
2024-06-05,KFC,5.09,expense
2024-06-05,EE Mobile,42.74,expense
2024-06-05,National Rail,111.54,expense
2024-06-05,Bank Interest,20.85,income
2024-06-05,Ryanair,196.04,expense
2024-06-05,John Lewis,101.30,expense
2024-06-05,Argos,89.24,expense
2024-06-05,Premier Inn,83.79,expense
2024-06-05,Pharmacy,24.85,expense
2024-06-06,Mortgage Payment,904.30,expense
2024-06-06,Dividend Payment,73.03,income
2024-06-06,Uber Eats,30.76,expense
2024-06-06,Dentist,79.62,expense
2024-06-06,Refund,83.92,income
2024-06-06,Gas & Electric,176.13,expense
2024-06-06,Gas & Electric,80.83,expense
2024-06-06,Shell Fuel,78.94,expense
2024-06-06,Netflix,10.99,expense
2024-06-06,Ryanair,175.87,expense
2024-06-06,Nandos,35.67,expense
2024-06-06,Pub / Bar,14.77,expense
2024-06-06,BP Fuel,78.08,expense
2024-06-06,Wagamama,12.96,expense
2024-06-06,Sainsburys,86.78,expense
2024-06-06,Freelance Payment,449.85,income
2024-06-06,Salary,4072.12,income
2024-06-07,Deliveroo,16.33,expense
2024-06-07,eBay Purchase,72.76,expense
2024-06-07,John Lewis,282.59,expense
2024-06-07,Salary,3469.21,income
2024-06-07,Trainline,17.96,expense
2024-06-07,National Rail,98.91,expense
2024-06-07,Lidl,57.33,expense
2024-06-08,TfL Travel,4.74,expense
2024-06-08,Tesco,69.95,expense
2024-06-08,Currys,448.12,expense
2024-06-08,Uber Eats,27.04,expense
2024-06-08,Boots,32.37,expense
2024-06-08,Shell Fuel,83.08,expense
2024-06-08,Deliveroo,28.48,expense
2024-06-08,Refund,93.37,income
2024-06-08,Argos,105.72,expense
2024-06-08,Cinema,18.08,expense
2024-06-08,McDonalds,13.24,expense
2024-06-09,Gym Membership,31.50,expense
2024-06-09,Pret A Manger,10.23,expense
2024-06-09,Spotify,10.99,expense
2024-06-09,Costa Coffee,6.97,expense
2024-06-09,Currys,463.20,expense
2024-06-09,O2 Mobile,31.48,expense
2024-06-09,Boots,12.35,expense
2024-06-09,Tesco,37.89,expense
2024-06-09,KFC,12.17,expense
2024-06-09,TfL Travel,12.32,expense
2024-06-09,Deliveroo,15.01,expense
2024-06-09,Superdrug,13.64,expense
2024-06-09,Gym Membership,34.92,expense
2024-06-09,Starbucks,6.59,expense
2024-06-09,Boots,6.64,expense
2024-06-09,Starbucks,6.22,expense
2024-06-09,National Rail,92.71,expense
2024-06-09,BP Fuel,84.64,expense
2024-06-09,Gas & Electric,136.03,expense
2024-06-10,Water Bill,39.55,expense
2024-06-10,Premier Inn,93.31,expense
2024-06-10,TfL Travel,7.76,expense
2024-06-10,Waitrose,107.84,expense
2024-06-10,Cinema,11.16,expense
2024-06-10,Tesco,119.76,expense
2024-06-10,Dividend Payment,142.14,income
2024-06-10,Shell Fuel,83.62,expense
2024-06-10,Council Tax,158.94,expense
2024-06-10,Cinema,15.72,expense
2024-06-11,Water Bill,39.00,expense
2024-06-11,Netflix,10.99,expense
2024-06-11,Uber Eats,37.04,expense
2024-06-11,BP Fuel,81.33,expense
2024-06-11,Just Eat,27.03,expense
2024-06-11,McDonalds,11.35,expense
2024-06-11,Uber Eats,19.30,expense
2024-06-11,Tesco,32.99,expense
2024-06-11,Aldi,69.56,expense
2024-06-11,TfL Travel,5.30,expense
2024-06-11,M&S Food,84.25,expense
2024-06-11,Freelance Payment,554.16,income
2024-06-12,Boots,30.24,expense
2024-06-12,BT Broadband,44.23,expense
2024-06-12,Superdrug,13.62,expense
2024-06-12,Aldi,13.78,expense
2024-06-12,Ryanair,40.16,expense
2024-06-12,Currys,131.20,expense
2024-06-12,Boots,9.88,expense
2024-06-12,Cinema,11.48,expense
2024-06-12,Pret A Manger,8.64,expense
2024-06-12,KFC,8.44,expense
2024-06-12,Pharmacy,16.09,expense
2024-06-12,Gym Membership,33.08,expense
2024-06-12,Salary,2612.78,income
2024-06-12,Cinema,17.00,expense
2024-06-12,Boots,13.72,expense
2024-06-12,Aldi,44.17,expense
2024-06-12,Dentist,27.72,expense
2024-06-13,Gym Membership,48.84,expense
2024-06-13,Premier Inn,67.54,expense
2024-06-13,BT Broadband,35.39,expense
2024-06-13,BT Broadband,35.66,expense
2024-06-13,Optician,176.11,expense
2024-06-13,Home Insurance,32.31,expense
2024-06-13,Mortgage Payment,1168.55,expense
2024-06-13,Costa Coffee,4.86,expense
2024-06-13,Sainsburys,123.54,expense
2024-06-13,Pret A Manger,10.17,expense
2024-06-13,KFC,13.71,expense
2024-06-14,Gym Membership,44.11,expense
2024-06-14,Uber,22.54,expense
2024-06-14,Amazon,139.69,expense
2024-06-14,John Lewis,135.75,expense
2024-06-14,Car Insurance,57.49,expense
2024-06-14,Nandos,31.62,expense
2024-06-14,Dentist,22.54,expense
2024-06-14,BT Broadband,35.17,expense
2024-06-14,Council Tax,170.68,expense
2024-06-14,Pizza Express,36.32,expense
2024-06-14,Waitrose,104.61,expense
2024-06-14,Aldi,20.54,expense
2024-06-14,Deliveroo,21.83,expense
2024-06-14,Costa Coffee,4.72,expense
2024-06-14,Council Tax,193.61,expense
2024-06-14,ASOS,76.62,expense
2024-06-15,Greggs,3.60,expense
2024-06-15,Water Bill,36.69,expense
2024-06-15,KFC,11.02,expense
2024-06-15,Spotify,10.99,expense
2024-06-15,Starbucks,5.95,expense
2024-06-15,Currys,105.10,expense
2024-06-15,TfL Travel,2.66,expense
2024-06-16,National Rail,58.97,expense
2024-06-16,Greggs,3.58,expense
2024-06-16,Dentist,45.92,expense
2024-06-16,Dentist,75.90,expense
2024-06-16,Pret A Manger,7.05,expense
2024-06-16,Dentist,26.09,expense
2024-06-16,Pub / Bar,45.83,expense
2024-06-16,KFC,7.27,expense
2024-06-16,Council Tax,186.43,expense
2024-06-16,Netflix,10.99,expense
2024-06-16,Aldi,63.43,expense
2024-06-16,Greggs,5.77,expense
2024-06-17,Spotify,10.99,expense
2024-06-17,Greggs,4.68,expense
2024-06-17,M&S Food,60.22,expense
2024-06-17,Optician,175.21,expense
2024-06-17,Car Insurance,42.71,expense
2024-06-18,Pharmacy,10.17,expense
2024-06-18,Netflix,10.99,expense
2024-06-18,BT Broadband,38.84,expense
2024-06-18,Apple iCloud,2.99,expense
2024-06-18,Mortgage Payment,1080.03,expense
2024-06-18,Disney+,7.99,expense
2024-06-18,Spotify,10.99,expense
2024-06-18,Bank Interest,24.98,income
2024-06-18,Rent Payment,1295.42,expense
2024-06-18,Shell Fuel,61.42,expense
2024-06-18,Boots,39.01,expense
2024-06-18,KFC,7.98,expense
2024-06-18,Argos,128.96,expense
2024-06-18,Currys,223.21,expense
2024-06-19,Argos,72.60,expense
2024-06-19,Rent Payment,1308.49,expense
2024-06-19,Currys,485.63,expense
2024-06-19,Salary,2944.32,income
2024-06-19,Rent Payment,1477.24,expense
2024-06-19,Council Tax,157.09,expense
2024-06-19,Optician,134.43,expense
2024-06-19,Freelance Payment,1110.67,income
2024-06-19,BP Fuel,38.39,expense
2024-06-19,Car Insurance,49.83,expense
2024-06-19,Premier Inn,110.71,expense
2024-06-19,Waitrose,79.84,expense
2024-06-19,BP Fuel,79.15,expense
2024-06-19,Starbucks,7.82,expense
2024-06-19,KFC,12.83,expense
2024-06-19,Ryanair,189.67,expense
2024-06-19,O2 Mobile,32.18,expense
2024-06-20,Sainsburys,123.46,expense
2024-06-20,Cashback,15.49,income
2024-06-20,Car Insurance,56.84,expense
2024-06-20,Uber Eats,20.85,expense
2024-06-20,Uber Eats,17.75,expense
2024-06-20,Apple iCloud,2.99,expense
2024-06-20,Gas & Electric,103.18,expense
2024-06-20,Rent Payment,1310.07,expense
2024-06-20,Car Insurance,58.84,expense
2024-06-20,Costa Coffee,4.91,expense
2024-06-20,Starbucks,4.40,expense
2024-06-20,Waitrose,31.31,expense
2024-06-20,Disney+,7.99,expense
2024-06-20,KFC,7.32,expense
2024-06-20,Boots,24.37,expense
2024-06-20,Netflix,10.99,expense
2024-06-21,McDonalds,9.90,expense
2024-06-21,Gym Membership,33.30,expense
2024-06-21,Freelance Payment,640.22,income
2024-06-21,Costa Coffee,4.78,expense
2024-06-21,Dentist,51.41,expense
2024-06-21,Rent Payment,1405.85,expense
2024-06-21,Starbucks,4.95,expense
2024-06-21,Superdrug,17.19,expense
2024-06-21,Spotify,10.99,expense
2024-06-21,Pharmacy,20.20,expense
2024-06-21,Apple iCloud,2.99,expense
2024-06-22,McDonalds,6.39,expense
2024-06-22,Mortgage Payment,1155.38,expense
2024-06-22,Superdrug,18.89,expense
2024-06-23,YouTube Premium,12.99,expense
2024-06-23,Freelance Payment,1225.95,income
2024-06-23,Ryanair,155.60,expense
2024-06-23,Argos,89.41,expense
2024-06-23,Argos,90.46,expense
2024-06-23,KFC,13.94,expense
2024-06-23,Gym Membership,38.60,expense
2024-06-23,Ryanair,182.80,expense
2024-06-23,Pub / Bar,10.59,expense
2024-06-23,Trainline,21.94,expense
2024-06-23,Mortgage Payment,930.44,expense
2024-06-24,KFC,13.86,expense
2024-06-24,Council Tax,184.59,expense
2024-06-24,EE Mobile,33.57,expense
2024-06-24,Refund,58.10,income
2024-06-24,Trainline,37.70,expense
2024-06-24,McDonalds,10.53,expense
2024-06-24,McDonalds,6.86,expense
2024-06-24,KFC,13.02,expense
2024-06-24,Tesco,29.76,expense
2024-06-24,Premier Inn,89.98,expense
2024-06-24,Aldi,72.16,expense
2024-06-24,KFC,12.16,expense
2024-06-25,Dividend Payment,93.17,income
2024-06-25,Greggs,5.09,expense
2024-06-25,M&S Food,28.84,expense
2024-06-25,Just Eat,11.78,expense
2024-06-25,Uber,18.96,expense
2024-06-25,Trainline,55.76,expense
2024-06-25,Boots,36.84,expense
2024-06-25,BT Broadband,44.24,expense
2024-06-25,Cashback,6.79,income
2024-06-25,Apple iCloud,2.99,expense
2024-06-25,Side Hustle,387.65,income
2024-06-26,Dentist,65.55,expense
2024-06-26,EE Mobile,35.13,expense
2024-06-26,Superdrug,10.00,expense
2024-06-26,Starbucks,5.89,expense
2024-06-26,Tesco,56.62,expense
2024-06-26,Premier Inn,111.32,expense
2024-06-26,Uber Eats,30.13,expense
2024-06-26,Home Insurance,30.82,expense
2024-06-26,Currys,382.12,expense
2024-06-26,BT Broadband,39.30,expense
2024-06-26,Sainsburys,86.78,expense
2024-06-26,McDonalds,6.03,expense
2024-06-26,Lidl,8.44,expense
2024-06-26,Refund,32.08,income
2024-06-26,Costa Coffee,6.44,expense
2024-06-27,eBay Purchase,42.39,expense
2024-06-27,Gym Membership,43.87,expense
2024-06-27,Netflix,10.99,expense
2024-06-27,Rent Payment,1114.66,expense
2024-06-27,Greggs,5.71,expense
2024-06-27,eBay Purchase,57.48,expense
2024-06-27,Cashback,4.50,income
2024-06-27,Apple iCloud,2.99,expense
2024-06-27,Bank Interest,25.73,income
2024-06-27,Ryanair,41.44,expense
2024-06-27,Water Bill,33.93,expense
2024-06-27,Lidl,66.98,expense
2024-06-27,Netflix,10.99,expense
2024-06-27,BP Fuel,41.68,expense
2024-06-27,Lidl,38.75,expense
2024-06-28,National Rail,64.22,expense
2024-06-28,Car Insurance,53.77,expense
2024-06-28,YouTube Premium,12.99,expense
2024-06-28,Rent Payment,965.34,expense
2024-06-28,Esso Fuel,51.97,expense
2024-06-28,Nandos,37.50,expense
2024-06-28,Mortgage Payment,1344.97,expense
2024-06-28,Netflix,10.99,expense
2024-06-28,Costa Coffee,3.92,expense
2024-06-28,Gym Membership,31.37,expense
2024-06-28,Pret A Manger,8.97,expense
2024-06-28,Disney+,7.99,expense
2024-06-28,Amazon,31.97,expense
2024-06-28,Amazon,7.57,expense
2024-06-28,Shell Fuel,45.35,expense
2024-06-28,John Lewis,278.24,expense
2024-06-28,BT Broadband,44.70,expense
2024-06-28,Spotify,10.99,expense
2024-06-29,Aldi,79.80,expense
2024-06-29,Aldi,77.47,expense
2024-06-29,eBay Purchase,30.68,expense
2024-06-29,Currys,113.14,expense
2024-06-29,Aldi,31.16,expense
2024-06-29,Amazon,9.43,expense
2024-06-29,Sainsburys,98.12,expense
2024-06-29,National Rail,34.72,expense
2024-06-29,Council Tax,174.17,expense
2024-06-29,Tesco,65.31,expense
2024-06-29,National Rail,91.55,expense
2024-06-29,Apple iCloud,2.99,expense
2024-06-30,Nandos,33.26,expense
2024-06-30,Uber,21.20,expense
2024-06-30,YouTube Premium,12.99,expense
2024-06-30,Waitrose,51.46,expense
2024-06-30,Pret A Manger,5.58,expense
2024-06-30,Tesco,70.93,expense
2024-06-30,Mortgage Payment,1292.18,expense
2024-06-30,Cinema,18.19,expense
2024-06-30,Bank Interest,29.53,income
2024-06-30,ASOS,41.55,expense
2024-06-30,Premier Inn,112.56,expense
2024-06-30,Costa Coffee,3.46,expense
2024-06-30,Uber,14.48,expense
2024-06-30,eBay Purchase,84.13,expense
2024-06-30,Argos,105.83,expense
2024-06-30,National Rail,109.63,expense
2024-06-30,Pharmacy,15.50,expense
2024-06-30,Wagamama,22.42,expense
2024-06-30,Optician,31.32,expense
2024-07-01,Costa Coffee,7.35,expense
2024-07-01,Costa Coffee,3.72,expense
2024-07-01,Aldi,72.49,expense
2024-07-01,Trainline,54.43,expense
2024-07-01,Aldi,66.98,expense
2024-07-01,Bank Interest,25.81,income
2024-07-01,Premier Inn,98.94,expense
2024-07-01,eBay Purchase,95.93,expense
2024-07-01,Sainsburys,148.79,expense
2024-07-01,Premier Inn,103.20,expense
2024-07-01,ASOS,35.40,expense
2024-07-01,Cinema,12.44,expense
2024-07-01,Mortgage Payment,918.12,expense
2024-07-01,Deliveroo,17.30,expense
2024-07-02,Costa Coffee,5.62,expense
2024-07-02,Sainsburys,77.19,expense
2024-07-02,Waitrose,178.96,expense
2024-07-02,Tesco,35.56,expense
2024-07-02,Sainsburys,104.42,expense
2024-07-02,EE Mobile,36.02,expense
2024-07-02,Ryanair,167.91,expense
2024-07-02,O2 Mobile,32.75,expense
2024-07-02,Nandos,33.67,expense
2024-07-02,Costa Coffee,7.09,expense
2024-07-02,Waitrose,128.45,expense
2024-07-03,M&S Food,60.71,expense
2024-07-03,John Lewis,285.35,expense
2024-07-03,Spotify,10.99,expense
2024-07-03,BT Broadband,38.38,expense
2024-07-03,Rent Payment,1182.48,expense
2024-07-03,Tesco,32.51,expense
2024-07-03,Deliveroo,17.33,expense
2024-07-03,Netflix,10.99,expense
2024-07-03,Just Eat,11.55,expense
2024-07-03,Rent Payment,1331.26,expense
2024-07-03,Tesco,70.55,expense
2024-07-03,Uber Eats,30.95,expense
2024-07-03,Apple iCloud,2.99,expense
2024-07-03,Wagamama,33.26,expense
2024-07-04,Uber Eats,12.93,expense
2024-07-04,Cinema,18.62,expense
2024-07-04,EE Mobile,39.03,expense
2024-07-04,Bank Interest,3.87,income
2024-07-04,Wagamama,23.49,expense
2024-07-04,Tesco,49.84,expense
2024-07-04,eBay Purchase,19.52,expense
2024-07-04,McDonalds,10.63,expense
2024-07-04,Just Eat,13.78,expense
2024-07-04,Uber Eats,38.40,expense
2024-07-04,Pharmacy,29.41,expense
2024-07-04,National Rail,73.88,expense
2024-07-04,Uber Eats,22.89,expense
2024-07-05,Waitrose,135.99,expense
2024-07-05,BT Broadband,37.65,expense
2024-07-05,Deliveroo,28.29,expense
2024-07-05,Dividend Payment,16.48,income
2024-07-05,Pizza Express,27.83,expense
2024-07-05,Wagamama,27.12,expense
2024-07-05,Spotify,10.99,expense
2024-07-05,Disney+,7.99,expense
2024-07-05,KFC,13.24,expense
2024-07-06,Shell Fuel,83.72,expense
2024-07-06,Greggs,4.55,expense
2024-07-06,John Lewis,203.24,expense
2024-07-06,Costa Coffee,4.97,expense
2024-07-06,Deliveroo,22.05,expense
2024-07-06,McDonalds,14.44,expense
2024-07-06,Bank Interest,7.19,income
2024-07-06,Disney+,7.99,expense
2024-07-06,M&S Food,89.39,expense
2024-07-06,Tesco,68.49,expense
2024-07-06,Esso Fuel,48.84,expense
2024-07-06,Tesco,94.27,expense
2024-07-06,Just Eat,19.51,expense
2024-07-06,Argos,25.54,expense
2024-07-06,EE Mobile,30.71,expense
2024-07-07,Deliveroo,31.50,expense
2024-07-07,Pizza Express,26.80,expense
2024-07-07,Rent Payment,1364.49,expense
2024-07-07,Sainsburys,70.87,expense
2024-07-07,Apple iCloud,2.99,expense
2024-07-07,Uber Eats,34.20,expense
2024-07-07,Apple iCloud,2.99,expense
2024-07-07,Waitrose,122.55,expense
2024-07-07,Costa Coffee,3.71,expense
2024-07-07,Spotify,10.99,expense
2024-07-07,Amazon,115.74,expense
2024-07-08,Water Bill,36.47,expense
2024-07-08,Netflix,10.99,expense
2024-07-08,Uber,26.85,expense
2024-07-08,Rent Payment,928.98,expense
2024-07-08,Rent Payment,813.82,expense
2024-07-08,Gas & Electric,123.63,expense
2024-07-08,Car Insurance,52.84,expense
2024-07-08,Lidl,24.60,expense
2024-07-08,Trainline,39.47,expense
2024-07-08,National Rail,58.94,expense
2024-07-08,Gas & Electric,136.90,expense
2024-07-08,Side Hustle,178.27,income
2024-07-08,Currys,333.87,expense
2024-07-09,EE Mobile,40.40,expense
2024-07-09,Tesco,75.68,expense
2024-07-09,Apple iCloud,2.99,expense
2024-07-09,Pub / Bar,44.88,expense
2024-07-09,Sainsburys,62.36,expense
2024-07-09,Home Insurance,33.80,expense
2024-07-09,Superdrug,19.21,expense
2024-07-09,Ryanair,173.94,expense
2024-07-09,Trainline,70.64,expense
